src/activitypub/actors.js: line 25, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 49, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 101, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 125, col 44, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 277, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 290, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/actors.js: line 303, col 44, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 414, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 424, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 428, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 442, col 48, 'Trailing comma in arguments lists' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 449, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 485, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 515, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 550, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 585, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 611, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 648, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/actors.js: line 668, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/contexts.js: line 10, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/contexts.js: line 56, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/contexts.js: line 85, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/contexts.js: line 105, col 20, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/contexts.js: line 132, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/contexts.js: line 154, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/feps.js: line 11, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/helpers.js: line 35, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 88, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 143, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 164, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 179, col 58, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/helpers.js: line 182, col 58, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/helpers.js: line 186, col 62, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/helpers.js: line 190, col 56, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/helpers.js: line 194, col 61, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/helpers.js: line 197, col 47, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/helpers.js: line 228, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 275, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 279, col 47, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 380, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 412, col 37, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/helpers.js: line 455, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/inbox.js: line 35, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 58, col 13, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 77, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 179, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 243, col 14, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 264, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 319, col 9, Expected a 'break' statement before 'case'.
src/activitypub/inbox.js: line 368, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 445, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 452, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 495, col 14, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 582, col 49, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 594, col 14, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 603, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/inbox.js: line 613, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/index.js: line 69, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 81, col 33, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 93, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 110, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 126, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 152, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 164, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 188, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 199, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 231, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 297, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 304, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 318, col 20, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 319, col 20, 'object spread property' is only available in ES9 (use 'esversion: 9').
